fund_id,fund_name,amc,category,field,source_url
axis_nifty_100,Axis Nifty 100 Index Fund — Direct Growth,Axis,Index (Large Cap),min_sip_amount,https://www.indmoney.com/mutual-funds/axis-nifty-100-index-fund-direct-growth-1005056
axis_nifty_100,Axis Nifty 100 Index Fund — Direct Growth,Axis,Index (Large Cap),lock_in_period,https://www.indmoney.com/mutual-funds/axis-nifty-100-index-fund-direct-growth-1005056
axis_nifty_100,Axis Nifty 100 Index Fund — Direct Growth,Axis,Index (Large Cap),riskometer,https://www.indmoney.com/mutual-funds/axis-nifty-100-index-fund-direct-growth-1005056
axis_nifty_100,Axis Nifty 100 Index Fund — Direct Growth,Axis,Index (Large Cap),benchmark,https://www.indmoney.com/mutual-funds/axis-nifty-100-index-fund-direct-growth-1005056
hdfc_pvt_bank_etf,HDFC Nifty Private Bank ETF,HDFC,ETF (Sectoral),expense_ratio,https://www.indmoney.com/mutual-funds/hdfc-nifty-private-bank-etf-1042349
hdfc_pvt_bank_etf,HDFC Nifty Private Bank ETF,HDFC,ETF (Sectoral),exit_load,https://www.indmoney.com/mutual-funds/hdfc-nifty-private-bank-etf-1042349
hdfc_pvt_bank_etf,HDFC Nifty Private Bank ETF,HDFC,ETF (Sectoral),min_sip_amount,https://www.indmoney.com/mutual-funds/hdfc-nifty-private-bank-etf-1042349
hdfc_pvt_bank_etf,HDFC Nifty Private Bank ETF,HDFC,ETF (Sectoral),lock_in_period,https://www.indmoney.com/mutual-funds/hdfc-nifty-private-bank-etf-1042349
hdfc_pvt_bank_etf,HDFC Nifty Private Bank ETF,HDFC,ETF (Sectoral),riskometer,https://www.indmoney.com/mutual-funds/hdfc-nifty-private-bank-etf-1042349
hdfc_pvt_bank_etf,HDFC Nifty Private Bank ETF,HDFC,ETF (Sectoral),benchmark,https://www.indmoney.com/mutual-funds/hdfc-nifty-private-bank-etf-1042349
